date,remittance,exchange_rate,oil_price,dofe_departures,dofe_lag3,dofe_lag6,dofe_lag9,covid_shock
2022-10-01,97982.3585585102,131.76999999999998,90.32666666667,62706.0,64655.0,56498.0,67063.0,0
2022-11-01,99972.06676540966,129.76,87.37666666667,78370.0,64930.0,46104.0,54702.0,0
2022-12-01,103659.14194305976,131.94,78.06666666667,68564.0,78157.0,63694.0,53735.0,0
2023-01-01,106163.0705291648,130.13,80.41,65464.0,62706.0,64655.0,56498.0,0
2023-02-01,106078.332989702,132.0,80.25333333333,64284.0,78370.0,64930.0,46104.0,0
2023-03-01,106118.28614909132,131.39999999999998,76.47333333333,61845.0,68564.0,78157.0,63694.0,0
2023-04-01,111192.3860205236,131.32999999999998,82.46,61478.0,65464.0,62706.0,64655.0,0
2023-05-01,101788.53349433024,131.47,74.12333333333,54457.0,64284.0,78370.0,64930.0,0
2023-06-01,107342.29797869328,131.36,73.26333333333,59422.0,61845.0,68564.0,78157.0,0
2023-07-01,108033.38165154331,131.47,78.98333333333,55299.0,61478.0,65464.0,62706.0,0
2023-08-01,116019.12383583808,132.73000000000002,84.72433333333,55575.0,54457.0,64284.0,78370.0,0
2023-09-01,112382.94546852696,133.10000000000002,92.22,50884.0,59422.0,61845.0,68564.0,0
2023-10-01,136967.94094551718,133.25,89.08366666667,56235.0,55299.0,61478.0,65464.0,0
2023-11-01,112625.3187557126,133.04000000000002,81.35433333333,43622.0,55575.0,54457.0,64284.0,0
2023-12-01,135289.0018494369,132.81,75.71933333333,71276.0,50884.0,59422.0,61845.0,0
2024-01-01,119971.04863582482,133.04206896551725,80.227,65813.0,56235.0,55299.0,61478.0,0
2024-02-01,105775.32365207432,132.87758620689655,83.764,62147.0,43622.0,55575.0,54457.0,0
2024-03-01,122222.08863749716,132.66433333333333,85.447,65658.0,71276.0,50884.0,59422.0,0
2024-04-01,121393.30119294884,133.18400000000003,90.054,70933.0,65813.0,56235.0,55299.0,0
2024-05-01,115987.6276834635,133.511935483871,81.995,70637.0,62147.0,43622.0,55575.0,0
2024-06-01,128905.09744595968,133.3921875,82.555,72861.0,65658.0,71276.0,50884.0,0
2024-07-01,117776.2723219546,133.60709677419356,85.296,58736.0,70933.0,65813.0,56235.0,0
2024-08-01,136930.0,134.0534375,80.863,59575.0,70637.0,62147.0,43622.0,0
2024-09-01,126000.0,134.27741935483868,74.293,57493.0,72861.0,65658.0,71276.0,0
2024-10-01,144380.0,134.13,75.662,53525.0,58736.0,70933.0,65813.0,0
2024-11-01,114320.0,134.66966666666667,74.395,70990.0,59575.0,70637.0,62147.0,0
2024-12-01,118800.0,135.31400000000002,73.833,84226.0,57493.0,72861.0,65658.0,0
2025-01-01,123150.0,136.72344827586207,79.206,67258.0,53525.0,58736.0,70933.0,0
2025-02-01,137000.0,138.79299999999998,75.157,72441.0,70990.0,59575.0,70637.0,0
2025-03-01,150730.0,139.2462068965517,72.574,68963.0,84226.0,57493.0,72861.0,0
2025-04-01,140000.0,137.63290322580644,67.745,73403.0,67258.0,53525.0,58736.0,0
2025-05-01,165300.0,136.3383870967742,64.206,78050.0,72441.0,70990.0,59575.0,0
2025-06-01,176320.0,136.8658064516129,71.45,74467.0,68963.0,84226.0,57493.0,0
2025-07-01,190340.0,137.45125000000002,70.951,78875.0,73403.0,67258.0,53525.0,0
2025-08-01,177410.0,139.27806451612904,68.203,68110.0,78050.0,72441.0,70990.0,0
2025-09-01,174670.0,140.64290322580646,67.951,67972.0,74467.0,68963.0,84226.0,0
2025-10-01,201230.0,141.6651612903226,64.651,64634.0,78875.0,73403.0,67258.0,0
2025-11-01,133800.0,141.39225806451614,63.609,73094.0,68110.0,78050.0,72441.0,0
